DRUG_ID,DRUG_NAME,THERAPEUTIC_TARGET,PUBCHEM_ID
1,Erlotinib,EGFR,176870
3,Rapamycin,MTOR,5284616
5,Sunitinib,"PDGFRA, PDGFRB, KDR (VEGFR2), KIT, FLT3",5329102
6,PHA-665752,MET,10461815
9,MG-132,Proteasome,462382
11,Paclitaxel,Microtubules,36314
17,Cyclopamine,SMO,442972
29,AZ628,BRAF,11676786
30,Sorafenib,"PDGFRA, PDGFRB, KDR (VEGFR2), KIT, FLT3",216239
32,VX-680,"AURK, FLT3, ABL1, JAK2",5494449
34,Imatinib,"BCR-ABL fusion, KIT, PDGFR",5291
35,NVP-TAE684,ALK,16038120
37,PF-02341066,"MET, ALK",11496366
38,AZD-0530,"SRC, ABL",10302451
41,S-Trityl-L-cysteine,EG5 (KIF11),76044
45,Z-LLNle-CHO,g-secretase,16760646
51,Dasatinib,"ABL, SRC, BMX, KIT, PDGFR",3062316
52,GNF-2,BCR-ABL fusion,5311510
53,CGP-60474,"CDK1, CDK2, CDK5, CDK7, CDK9 ",644215
54,CGP-082996,CDK4,24825971
55,A-770041,SRC family,9549184
56,WH-4-023,"SRC family, ABL",11844351
59,WZ-1-84,"BMX, Tec family",49821040
60,BI-2536,"PLK1, PLK2, PLK3",11364421
62,BMS-536924,IGF1R,10390396
63,BMS-509744,ITK,20635522
64,CMK,RSK,NO MATCH
71,Pyrimethamine,Dihydrofolate reductase (DHFR),4993
83,JW-7-52-1,MTOR,49836027
86,A-443654,"AKT1, AKT2, AKT3",10172943
87,GW843682X,PLK1,15983966
88,MS-275,HDAC,4261
89,Parthenolide,NFKB1,5420805
91,KIN001-135,IKKE,11626927
94,TGX221,PI3K beta,9907093
104,Bortezomib,Proteasome,387447
106,XMD8-85,ERK5,46844147
110,Roscovitine,CDK-pan,160355
111,Salubrinal,GADD34-PP1C phosphatase,5717801
119,Lapatinib,"EGFR, ERBB2",208908
127,GSK269962A,ROCK,16095342
133,Doxorubicin,DNA damage: DNA intercalater,31703
134,Etoposide,DNA damage: DNA topoisomerase 2,36462
135,Gemcitabine,DNA replication,60750
136,Mitomycin C,DNA damage: DNA crosslinks,5746
140,Vinorelbine,Microtubules,60780
