From	To
Q8WV24	PHLDA1
Q5BKT4	ALG10
Q8NBJ5	COLGALT1
Q96HH6	TMEM19
Q9NXD2	MTMR10
P42025	ACTR1B
Q12888	TP53BP1
O60725	ICMT
O00748	CES2
P17029	ZKSCAN1
O60487	MPZL2
P46952	HAAO
B7ZW38	HNRNPCL3
P29122	PCSK6
Q9BYB4	GNB1L
A0AV02	SLC12A8
P25054	APC
A0AV96	RBM47
A0AVF1	TTC26
A0AVI2	FER1L5
A0AVK6	E2F8
A0AVT1	UBA6
A0FGR8	ESYT2
A0JLT2	MED19
A0JNW5	UHRF1BP1L
A0MZ66	SHTN1
A0PJW6	TMEM223
A0PK00	TMEM120B
A1A4S6	ARHGAP10
A1A5B4	ANO9
A1A5C7	SLC22A23
A1A5D9	CCDC64B
A1IGU5	ARHGEF37
A1L020	MEX3A
A1L0T0	ILVBL
A1L170	C1orf226
A1L188	C17orf89
A1Z1Q3	MACROD2
A2A2Y4	FRMD3
A2A3K4	PTPDC1
A2AJT9	CXorf23
A2PYH4	HFM1
A2RRD8	ZNF320
A2RRP1	NBAS
A2RTX5	TARSL2
A2RU67	KIAA1467
A2RUB6	CCDC66
A2RUC4	TYW5
A2RUS2	DENND3
A2VDF0	FUOM
A2VDJ0	KIAA0922
A3KMH1	VWA8
A3KN83	SBNO1
A4D161	FAM221A
A4D1E9	GTPBP10
A4D1P6	WDR91
A4D1S5	RAB19
A4D1U4	LCHN
A4D2B0	MBLAC1
A4FU01	MTMR11
A4UGR9	XIRP2
A5D8V6	VPS37C
A5PLL7	TMEM189
A5PLN9	TRAPPC13
A5YKK6	CNOT1
A5YM69	ARHGEF35
A6H8Y1	BDP1
A6NCE7	MAP1LC3B2
A6NCS6	C2orf72
A6NCW0	USP17L3
A6ND36	FAM83G
A6NDB9	PALM3
A6NED2	RCCD1
A6NEL2	SOWAHB
A6NFI3	ZNF316
A6NGR9	MROH6
A6NHC0	CAPN8
A6NHL2	TUBAL3
A6NHR9	SMCHD1
A6NHX0	GATSL2
A6NI28	ARHGAP42
A6NIH7	UNC119B
A6NJ78	METTL15
A6NKF1	SAC3D1
A6NNA2	SRRM3
A6QL63	BTBD11
A6ZKI3	FAM127A
A7E2V4	ZSWIM8
A7KAX9	ARHGAP32
A7MBM2	DISP2
A7MCY6	TBKBP1
A7XYQ1	SOBP
A8CG34	POM121C
A8K855	EFCAB7
A8MPP1	DDX11L8
A8MPS7	YDJC
A8MSI8	LYRM9
A8MT69	STRA13
A8MTJ3	GNAT3
A8MU46	SMTNL1
A8MVW0	FAM171A2
A8MW92	PHF20L1
A8MXV4	NUDT19
A9UHW6	MIF4GD
B1AJZ9	FHAD1
B1AK53	ESPN
B2RTY4	MYO9A
B7ZAP0	RABGAP1L
B7ZAQ6	GPR89A
C4AMC7	WASH3P
C9J7I0	UMAD1
C9JLW8	FAM195B
H3BN30	C16orf97
O00115	DNASE2
O00116	AGPS
O00124	UBXN8
O00139	KIF2A
O00142	TK2
O00154	ACOT7
O00159	MYO1C
O00161	SNAP23
O00165	HAX1
O00170	AIP
O00178	GTPBP1
O00180	KCNK1
O00182	LGALS9
O00186	STXBP3
O00189	AP4M1
O00192	ARVCF
O00193	SMAP
O00194	RAB27B
O00203	AP3B1
O00204	SULT2B1
O00214	LGALS8
O00217	NDUFS8
O00220	TNFRSF10A
O00221	NFKBIE
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00244	ATOX1
O00255	MEN1
O00257	CBX4
O00258	WRB
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
O00273	DFFA
O00287	RFXAP
O00291	HIP1
O00299	CLIC1
O00303	EIF3F
O00308	WWP2
O00311	CDC7
O00327	ARNTL
O00330	PDHX
O00338	SULT1C2
O00391	QSOX1
O00399	DCTN6
O00400	SLC33A1
O00401	WASL
O00410	IPO5
O00411	POLRMT
O00418	EEF2K
O00422	SAP18
O00423	EML1
O00425	IGF2BP3
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00458	IFRD1
O00459	PIK3R2
O00461	GOLIM4
O00462	MANBA
O00463	TRAF5
O00468	AGRN
O00469	PLOD2
O00471	EXOC5
O00472	ELL2
O00478	BTN3A3
O00479	HMGN4
O00483	NDUFA4
O00487	PSMD14
O00488	ZNF593
O00499	BIN1
O00505	KPNA3
O00506	STK25
O00507	USP9Y
O00512	BCL9
O00515	LAD1
O00519	FAAH
O00522	KRIT1
O00534	VWA5A
O00541	PES1
O00559	EBAG9
O00560	SDCBP
O00562	PITPNM1
O00566	MPHOSPH10
O00567	NOP56
O00571	DDX3X
O00584	RNASET2
O00592	PODXL
O00622	CYR61
O00623	PEX12
O00625	PIR
O00628	PEX7
O00629	KPNA4
O00635	TRIM38
O00712	NFIB
O00716	E2F3
O00743	PPP6C
O00746	NME4
O00750	PIK3C2B
O00754	MAN2B1
O00757	FBP2
O00762	UBE2C
O00764	PDXK
O14523	C2CD2L
O14524	NEMP1
O14526	FCHO1
O14529	CUX2
O14530	TXNDC9
O14544	SOCS6
O14545	TRAFD1
