From	To
Q8WV24	22822
Q5BKT4	84920
Q8NBJ5	79709
Q96HH6	55266
Q9NXD2	54893
P42025	10120
Q12888	7158
O60725	23463
O00748	8824
P17029	7586
O60487	10205
P46952	23498
B7ZW38	101060301
B7ZW38	649330
P29122	5046
Q9BYB4	54584
A0AV02	84561
P25054	324
A0AV96	54502
A0AVF1	79989
A0AVI2	90342
A0AVK6	79733
A0AVT1	55236
A0FGR8	57488
A0JLT2	219541
A0JNW5	23074
A0MZ66	57698
A0PJW6	79064
A0PK00	144404
A1A4S6	79658
A1A5B4	338440
A1A5C7	63027
A1A5D9	146439
A1IGU5	389337
A1L020	92312
A1L0T0	10994
A1L170	400793
A1L188	284184
A1Z1Q3	140733
A2A2Y4	257019
A2A3K4	138639
A2AJT9	256643
A2PYH4	164045
A2RRD8	162967
A2RRP1	51594
A2RTX5	123283
A2RU67	57613
A2RUB6	285331
A2RUC4	129450
A2RUS2	22898
A2VDF0	282969
A2VDJ0	23240
A3KMH1	23078
A3KN83	55206
A4D161	340277
A4D1E9	85865
A4D1P6	29062
A4D1S5	401409
A4D1U4	57189
A4D2B0	255374
A4FU01	10903
A4UGR9	129446
A5D8V6	55048
A5PLL7	387521
A5PLL7	387522
A5PLN9	80006
A5YKK6	23019
A5YM69	445328
A6H8Y1	55814
A6NCE7	643246
A6NCS6	257407
A6NCW0	645836
A6ND36	644815
A6NDB9	342979
A6NED2	91433
A6NEL2	345079
A6NFI3	100131017
A6NGR9	642475
A6NHC0	388743
A6NHL2	79861
A6NHR9	23347
A6NHX0	729438
A6NI28	143872
A6NIH7	84747
A6NJ78	196074
A6QL63	121551
A6ZKI3	8933
A7E2V4	23053
A7KAX9	9743
A7MBM2	85455
A7MCY6	9755
A7XYQ1	55084
A8K855	84455
A8MPS7	150223
A8MSI8	201229
A8MT69	201254
A8MTJ3	346562
A8MVW0	284069
A8MW92	51105
A8MXV4	390916
A9UHW6	57409
B1AJZ9	114827
B1AK53	83715
B2RTY4	4649
B7ZAP0	9910
B7ZAQ6	51463
B7ZAQ6	653519
C9J7I0	729852
C9JLW8	348262
H3BN30	388276
O00115	1777
O00116	8540
O00124	7993
O00139	3796
O00142	7084
O00154	11332
O00159	4641
O00161	8773
O00165	10456
O00170	9049
O00178	9567
O00180	3775
O00182	3965
O00186	6814
O00189	9179
O00192	421
O00193	10944
O00194	5874
O00203	8546
O00204	6820
O00214	3964
O00217	4728
O00220	8797
O00221	4794
O00231	5717
O00232	5718
O00233	5715
O00244	475
O00255	4221
O00257	8535
O00258	7485
O00264	10857
O00267	6829
O00268	6874
O00273	1676
O00287	5994
O00291	3092
O00299	1192
O00303	8665
O00308	11060
O00311	8317
O00327	406
O00330	8050
O00338	6819
O00391	5768
O00399	10671
O00400	9197
O00401	8976
O00410	3843
O00411	5442
O00418	101930123
O00418	29904
O00422	10284
O00423	2009
O00425	10643
O00429	10059
O00442	8634
O00443	5286
O00458	3475
O00459	5296
O00461	27333
O00462	4126
O00463	7188
O00468	375790
O00469	5352
O00471	10640
O00472	22936
O00478	10384
O00479	10473
O00483	4697
O00487	10213
O00488	51042
O00499	274
O00505	3839
O00506	10494
O00507	8287
O00512	607
O00515	3898
O00519	2166
O00522	889
O00534	4013
O00541	23481
O00559	9166
O00560	6386
O00562	9600
O00566	10199
O00567	10528
O00571	1654
O00584	8635
O00592	5420
O00622	3491
O00623	5193
O00625	8544
O00628	5191
O00629	3840
O00635	10475
O00712	4781
O00716	1871
O00743	5537
O00746	4833
O00750	5287
O00754	4125
O00757	8789
O00762	11065
O00764	8566
O14523	9854
O14524	23306
O14526	23149
O14529	23316
O14530	10190
O14544	9306
O14545	10906
O14548	9167
O14561	4706
O14562	56061
O14578	11113
O14579	11316
O14593	8625
O14613	10435
O14617	8943
O14618	9973
O14628	7748
O14639	3983
O14640	1855
O14641	1856
O14646	1105
O14647	1106
O14653	9570
O14656	1861
O14657	27348
O14662	8675
O14668	5638
O14672	102
O14678	5826
O14681	9538
O14682	8507
O14683	9537
O14684	9536
O14686	8085
O14713	9270
O14717	1787
O14727	317
O14730	8780
O14732	3613
O14733	5609
O14734	10005
O14735	10423
O14737	9141
O14744	10419
O14745	9368
O14753	5017
O14757	1111
O14763	8795
O14771	7760
O14772	8790
O14773	1200
O14776	10915
O14777	10403
O14782	3797
O14786	8829
O14787	30000
O14795	10497
O14802	11128
O14810	10815
O14815	10753
O14818	5688
O14827	5924
O14828	10067
O14832	5264
O14841	26873
O14867	571
O14874	10295
O14879	3437
O14880	4259
O14893	8487
O14896	3664
O14907	30851
O14908	10755
O14920	3551
O14925	100287932
O14929	8520
O14933	9246
O14936	8573
O14939	5338
O14944	2069
O14949	27089
O14950	103910
O14950	10627
O14957	10975
O14964	9146
O14965	6790
O14966	8934
O14967	1047
O14972	10311
O14974	4659
O14975	11001
O14976	2580
O14979	9987
O14980	7514
O14981	9044
O15020	6712
O15021	375449
O15027	9919
O15031	23654
O15033	9870
O15037	23351
O15040	9895
O15042	23350
O15047	9739
O15049	23138
O15054	23135
O15055	8864
O15056	8871
O15061	23336
O15063	9710
O15066	9371
O15067	5198
O15068	23263
O15069	23148
O15078	80184
O15084	23243
O15116	27257
O15118	4864
O15119	6926
O15120	10555
O15121	8560
O15126	9522
O15111	1147
O15143	10095
O15144	10109
O15145	10094
O15151	4194
O15155	10282
O15156	51043
O15160	9533
O15162	5359
O15164	8805
O15169	8312
O15173	10424
O15182	1070
O15194	10217
O15195	50853
O15197	2051
O15211	5863
O15212	10471
O15213	9277
O15226	55922
O15228	8443
O15229	8564
O15230	3911
O15231	7739
O15234	22794
O15235	6183
O15240	7425
O15243	54741
